date,spread,pips,weekday,hour
2023-02-13 18:00:00,0.0063,63.0,Monday,18
2023-02-13 19:00:00,,,Monday,19
2023-02-13 20:00:00,,,Monday,20
2023-02-13 21:00:00,,,Monday,21
2023-02-13 22:00:00,,,Monday,22
2023-02-13 23:00:00,,,Monday,23
2023-02-14 00:00:00,,,Tuesday,0
2023-02-14 01:00:00,,,Tuesday,1
2023-02-14 02:00:00,,,Tuesday,2
2023-02-14 03:00:00,,,Tuesday,3
2023-02-14 04:00:00,,,Tuesday,4
2023-02-14 05:00:00,,,Tuesday,5
2023-02-14 06:00:00,,,Tuesday,6
2023-02-14 07:00:00,,,Tuesday,7
2023-02-14 08:00:00,,,Tuesday,8
2023-02-14 09:00:00,,,Tuesday,9
2023-02-14 10:00:00,,,Tuesday,10
2023-02-14 11:00:00,,,Tuesday,11
2023-02-14 12:00:00,,,Tuesday,12
2023-02-14 13:00:00,0.0063,63.0,Tuesday,13
2023-02-14 14:00:00,0.0063,63.0,Tuesday,14
2023-02-14 15:00:00,0.0063,63.0,Tuesday,15
2023-02-14 16:00:00,0.0063,63.0,Tuesday,16
2023-02-14 17:00:00,0.0063,63.0,Tuesday,17
2023-02-14 18:00:00,0.0063,63.0,Tuesday,18
2023-02-14 19:00:00,,,Tuesday,19
2023-02-14 20:00:00,,,Tuesday,20
2023-02-14 21:00:00,,,Tuesday,21
2023-02-14 22:00:00,,,Tuesday,22
2023-02-14 23:00:00,,,Tuesday,23
2023-02-15 00:00:00,,,Wednesday,0
2023-02-15 01:00:00,,,Wednesday,1
2023-02-15 02:00:00,,,Wednesday,2
2023-02-15 03:00:00,,,Wednesday,3
2023-02-15 04:00:00,,,Wednesday,4
2023-02-15 05:00:00,,,Wednesday,5
2023-02-15 06:00:00,,,Wednesday,6
2023-02-15 07:00:00,,,Wednesday,7
2023-02-15 08:00:00,,,Wednesday,8
2023-02-15 09:00:00,,,Wednesday,9
2023-02-15 10:00:00,,,Wednesday,10
2023-02-15 11:00:00,,,Wednesday,11
2023-02-15 12:00:00,,,Wednesday,12
2023-02-15 13:00:00,0.0063,63.0,Wednesday,13
2023-02-15 14:00:00,0.0063,63.0,Wednesday,14
2023-02-15 15:00:00,0.0063,63.0,Wednesday,15
2023-02-15 16:00:00,0.0063,63.0,Wednesday,16
2023-02-15 17:00:00,0.0063,63.0,Wednesday,17
2023-02-15 18:00:00,0.0063,63.0,Wednesday,18
2023-02-15 19:00:00,,,Wednesday,19
2023-02-15 20:00:00,,,Wednesday,20
2023-02-15 21:00:00,,,Wednesday,21
2023-02-15 22:00:00,,,Wednesday,22
2023-02-15 23:00:00,,,Wednesday,23
2023-02-16 00:00:00,,,Thursday,0
2023-02-16 01:00:00,,,Thursday,1
2023-02-16 02:00:00,,,Thursday,2
2023-02-16 03:00:00,,,Thursday,3
2023-02-16 04:00:00,,,Thursday,4
2023-02-16 05:00:00,,,Thursday,5
2023-02-16 06:00:00,,,Thursday,6
2023-02-16 07:00:00,,,Thursday,7
2023-02-16 08:00:00,,,Thursday,8
2023-02-16 09:00:00,,,Thursday,9
2023-02-16 10:00:00,,,Thursday,10
2023-02-16 11:00:00,,,Thursday,11
2023-02-16 12:00:00,,,Thursday,12
2023-02-16 13:00:00,0.0063,63.0,Thursday,13
2023-02-16 14:00:00,0.0063,63.0,Thursday,14
2023-02-16 15:00:00,0.0063,63.0,Thursday,15
2023-02-16 16:00:00,0.0063,63.0,Thursday,16
2023-02-16 17:00:00,0.0063,63.0,Thursday,17
2023-02-16 18:00:00,0.0063,63.0,Thursday,18
2023-02-16 19:00:00,,,Thursday,19
2023-02-16 20:00:00,,,Thursday,20
2023-02-16 21:00:00,,,Thursday,21
2023-02-16 22:00:00,,,Thursday,22
2023-02-16 23:00:00,,,Thursday,23
2023-02-17 00:00:00,,,Friday,0
2023-02-17 01:00:00,,,Friday,1
2023-02-17 02:00:00,,,Friday,2
2023-02-17 03:00:00,,,Friday,3
2023-02-17 04:00:00,,,Friday,4
2023-02-17 05:00:00,,,Friday,5
2023-02-17 06:00:00,,,Friday,6
2023-02-17 07:00:00,,,Friday,7
2023-02-17 08:00:00,,,Friday,8
2023-02-17 09:00:00,,,Friday,9
2023-02-17 10:00:00,,,Friday,10
2023-02-17 11:00:00,,,Friday,11
2023-02-17 12:00:00,,,Friday,12
2023-02-17 13:00:00,0.0063,63.0,Friday,13
2023-02-17 14:00:00,0.0063,63.0,Friday,14
2023-02-17 15:00:00,0.0063,63.0,Friday,15
2023-02-17 16:00:00,0.0063,63.0,Friday,16
2023-02-17 17:00:00,0.0063,63.0,Friday,17
2023-02-17 18:00:00,0.0063,63.0,Friday,18
